tiempo_s;iteraciones_no_lineales;error_no_lineal_relativo;incremento_RMS_K;Tmin_C;Tmax_C;T_cubierta_C;T_baldosa_EPS_C;T_EPS_forjado_C;T_forjado_aire_C
2;4;1.78276e-10;5.34767e-08;20.9;28.9659;28.9659;28.331;27.0354;27
4;3;9.65479e-09;2.89528e-06;20.9;29.6674;29.6674;29.2576;27.0888;27
6;3;5.55842e-09;1.6665e-06;20.9;30.054;30.054;29.7976;27.1437;27
8;3;3.25489e-09;9.7569e-07;20.9;30.2742;30.2742;30.1071;27.1939;27
10;3;1.8917e-09;5.6697e-07;20.9;30.4002;30.4002;30.2844;27.238;27.0001
12;3;1.09389e-09;3.27808e-07;20.9;30.4724;30.4724;30.3861;27.2766;27.0002
14;3;6.31554e-10;1.89234e-07;20.9;30.5138;30.5138;30.4447;27.3106;27.0005
16;3;3.65138e-10;1.09394e-07;20.9;30.5378;30.5378;30.4785;27.341;27.0009
18;3;2.12051e-10;6.35225e-08;20.9;30.5516;30.5516;30.4982;27.3683;27.0015
20;3;1.24171e-10;3.7193e-08;20.9;30.5598;30.5598;30.5098;27.3933;27.0024
22;2;8.79415e-09;2.63386e-06;20.9;30.5646;30.5646;30.5167;27.4163;27.0035
24;2;5.33001e-09;1.5962e-06;20.9;30.5675;30.5675;30.521;27.4377;27.005
26;2;3.332e-09;9.97758e-07;20.9;30.5693;30.5693;30.5237;27.4578;27.0068
28;2;2.17415e-09;6.50988e-07;20.9;30.5705;30.5705;30.5255;27.4767;27.009
30;2;1.49824e-09;4.48571e-07;20.9;30.5714;30.5714;30.5268;27.4946;27.0115
32;2;1.09935e-09;3.29117e-07;20.9;30.572;30.572;30.5278;27.5116;27.0144
34;2;8.60127e-10;2.57481e-07;20.9;30.5724;30.5724;30.5285;27.5278;27.0177
36;2;7.13341e-10;2.13525e-07;20.9;30.5728;30.5728;30.5292;27.5434;27.0213
38;2;6.20396e-10;1.85691e-07;20.9;30.5732;30.5732;30.5298;27.5584;27.0253
40;2;5.59097e-10;1.67332e-07;20.9;30.5735;30.5735;30.5303;27.5728;27.0297
42;2;5.16639e-10;1.54616e-07;20.9;30.5738;30.5738;30.5308;27.5866;27.0344
44;2;4.85609e-10;1.4532e-07;20.9;30.574;30.574;30.5313;27.6001;27.0393
46;2;4.61687e-10;1.38153e-07;20.9;30.5743;30.5743;30.5317;27.6131;27.0446
48;2;4.42335e-10;1.32355e-07;20.9;30.5745;30.5745;30.5322;27.6257;27.0502
50;2;4.26045e-10;1.27473e-07;20.9;30.5748;30.5748;30.5326;27.638;27.056
52;2;4.11908e-10;1.23237e-07;20.9;30.575;30.575;30.533;27.65;27.0621
54;2;3.99361e-10;1.19477e-07;20.9;30.5752;30.5752;30.5334;27.6616;27.0683
56;2;3.88049e-10;1.16087e-07;20.9;30.5755;30.5755;30.5338;27.673;27.0748
58;2;3.77737e-10;1.12996e-07;20.9;30.5757;30.5757;30.5341;27.6841;27.0815
60;2;3.68264e-10;1.10157e-07;20.9;30.5759;30.5759;30.5345;27.6949;27.0884
62;2;3.59516e-10;1.07535e-07;20.9;30.5761;30.5761;30.5348;27.7055;27.0954
64;2;3.51404e-10;1.05104e-07;20.9;30.5763;30.5763;30.5352;27.716;27.1026
66;2;3.43862e-10;1.02844e-07;20.9;30.5765;30.5765;30.5355;27.7262;27.11
68;2;3.36834e-10;1.00737e-07;20.9;30.5766;30.5766;30.5359;27.7362;27.1174
70;2;3.30273e-10;9.87711e-08;20.9;30.5768;30.5768;30.5362;27.7461;27.125
72;2;3.2414e-10;9.69328e-08;20.9;30.577;30.577;30.5365;27.7557;27.1327
74;2;3.18399e-10;9.52121e-08;20.9;30.5772;30.5772;30.5368;27.7653;27.1405
76;2;3.13019e-10;9.35996e-08;20.9;30.5774;30.5774;30.5371;27.7747;27.1484
78;2;3.07971e-10;9.20869e-08;20.9;30.5775;30.5775;30.5374;27.7839;27.1564
80;2;3.03232e-10;9.06664e-08;20.9;30.5777;30.5777;30.5377;27.793;27.1645
82;2;2.98777e-10;8.93312e-08;20.9;30.5779;30.5779;30.538;27.8021;27.1726
84;2;2.94586e-10;8.8075e-08;20.9;30.578;30.578;30.5383;27.8109;27.1808
