tiempo_s;iteraciones_no_lineales;error_no_lineal_relativo;incremento_RMS_K;Tmin_C;Tmax_C;T_cubierta_C;T_baldosa_EPS_C;T_EPS_forjado_C;T_forjado_aire_C
86;2;2.9064e-10;8.68921e-08;20.9;30.5782;30.5782;30.5386;27.8197;27.189
88;2;2.8692e-10;8.57771e-08;20.9;30.5784;30.5784;30.5389;27.8284;27.1973
90;2;2.83411e-10;8.47252e-08;20.9;30.5785;30.5785;30.5392;27.837;27.2056
92;2;2.80097e-10;8.37319e-08;20.9;30.5787;30.5787;30.5395;27.8455;27.214
94;2;2.76965e-10;8.2793e-08;20.9;30.5788;30.5788;30.5397;27.8539;27.2224
96;2;2.74001e-10;8.19047e-08;20.9;30.579;30.579;30.54;27.8623;27.2309
98;2;2.71195e-10;8.10633e-08;20.9;30.5791;30.5791;30.5403;27.8705;27.2393
100;2;2.68534e-10;8.02657e-08;20.9;30.5793;30.5793;30.5405;27.8787;27.2478
102;2;2.66009e-10;7.95088e-08;20.9;30.5794;30.5794;30.5408;27.8868;27.2563
104;2;2.63611e-10;7.87897e-08;20.9;30.5796;30.5796;30.5411;27.8949;27.2649
106;2;2.61329e-10;7.81058e-08;20.9;30.5797;30.5797;30.5413;27.9029;27.2734
108;2;2.59158e-10;7.74547e-08;20.9;30.5799;30.5799;30.5416;27.9108;27.282
110;2;2.57088e-10;7.68341e-08;20.9;30.58;30.58;30.5418;27.9187;27.2905
112;2;2.55112e-10;7.62418e-08;20.9;30.5802;30.5802;30.5421;27.9265;27.2991
114;2;2.53226e-10;7.56761e-08;20.9;30.5803;30.5803;30.5423;27.9343;27.3077
116;2;2.51421e-10;7.5135e-08;20.9;30.5804;30.5804;30.5426;27.942;27.3163
118;2;2.49693e-10;7.46168e-08;20.9;30.5806;30.5806;30.5428;27.9497;27.3248
120;2;2.48036e-10;7.41201e-08;20.9;30.5807;30.5807;30.5431;27.9573;27.3334
122;2;2.46446e-10;7.36433e-08;20.9;30.5809;30.5809;30.5433;27.9649;27.342
124;2;2.44918e-10;7.3185e-08;20.9;30.581;30.581;30.5436;27.9724;27.3505
126;2;2.43447e-10;7.27441e-08;20.9;30.5811;30.5811;30.5438;27.9799;27.3591
128;2;2.42031e-10;7.23194e-08;20.9;30.5813;30.5813;30.5441;27.9874;27.3677
130;2;2.40665e-10;7.19098e-08;20.9;30.5814;30.5814;30.5443;27.9948;27.3762
132;2;2.39345e-10;7.15142e-08;20.9;30.5815;30.5815;30.5445;28.0022;27.3847
134;2;2.3807e-10;7.11318e-08;20.9;30.5817;30.5817;30.5448;28.0095;27.3933
136;2;2.36835e-10;7.07616e-08;20.9;30.5818;30.5818;30.545;28.0168;27.4018
138;2;2.35639e-10;7.04028e-08;20.9;30.5819;30.5819;30.5452;28.0241;27.4103
140;2;2.34478e-10;7.00548e-08;20.9;30.5821;30.5821;30.5455;28.0313;27.4187
142;2;2.33351e-10;6.97168e-08;20.9;30.5822;30.5822;30.5457;28.0386;27.4272
144;2;2.32254e-10;6.93881e-08;20.9;30.5823;30.5823;30.5459;28.0457;27.4357
146;2;2.31187e-10;6.90682e-08;20.9;30.5825;30.5825;30.5462;28.0529;27.4441
148;2;2.30147e-10;6.87564e-08;20.9;30.5826;30.5826;30.5464;28.06;27.4525
150;2;2.29133e-10;6.84523e-08;20.9;30.5827;30.5827;30.5466;28.0671;27.4609
152;2;2.28142e-10;6.81553e-08;20.9;30.5828;30.5828;30.5469;28.0742;27.4693
154;2;2.27174e-10;6.78651e-08;20.9;30.583;30.583;30.5471;28.0812;27.4777
156;2;2.26227e-10;6.75812e-08;20.9;30.5831;30.5831;30.5473;28.0882;27.4861
158;2;2.25299e-10;6.73032e-08;20.9;30.5832;30.5832;30.5475;28.0952;27.4944
160;2;2.2439e-10;6.70307e-08;20.9;30.5833;30.5833;30.5478;28.1022;27.5027
162;2;2.23498e-10;6.67634e-08;20.9;30.5835;30.5835;30.548;28.1091;27.511
164;2;2.22622e-10;6.6501e-08;20.9;30.5836;30.5836;30.5482;28.116;27.5193
166;2;2.21762e-10;6.62432e-08;20.9;30.5837;30.5837;30.5484;28.1229;27.5275
168;2;2.20916e-10;6.59897e-08;20.9;30.5838;30.5838;30.5486;28.1297;27.5358
170;2;2.20084e-10;6.57403e-08;20.9;30.584;30.584;30.5489;28.1366;27.544
172;2;2.19264e-10;6.54947e-08;20.9;30.5841;30.5841;30.5491;28.1434;27.5522
174;2;2.18456e-10;6.52527e-08;20.9;30.5842;30.5842;30.5493;28.1502;27.5604
176;2;2.1766e-10;6.50142e-08;20.9;30.5843;30.5843;30.5495;28.1569;27.5685
178;2;2.16874e-10;6.47789e-08;20.9;30.5845;30.5845;30.5497;28.1637;27.5767
180;2;2.16099e-10;6.45466e-08;20.9;30.5846;30.5846;30.55;28.1704;27.5848
182;2;2.15333e-10;6.43172e-08;20.9;30.5847;30.5847;30.5502;28.1771;27.5929
184;2;2.14576e-10;6.40905e-08;20.9;30.5848;30.5848;30.5504;28.1838;27.601
186;2;2.13827e-10;6.38664e-08;20.9;30.5849;30.5849;30.5506;28.1904;27.609
188;2;2.13087e-10;6.36448e-08;20.9;30.5851;30.5851;30.5508;28.197;27.6171
190;2;2.12355e-10;6.34254e-08;20.9;30.5852;30.5852;30.551;28.2037;27.6251
192;2;2.11629e-10;6.32083e-08;20.9;30.5853;30.5853;30.5512;28.2102;27.6331
194;2;2.10911e-10;6.29934e-08;20.9;30.5854;30.5854;30.5515;28.2168;27.641
196;2;2.102e-10;6.27804e-08;20.9;30.5855;30.5855;30.5517;28.2234;27.649
198;2;2.09495e-10;6.25693e-08;20.9;30.5857;30.5857;30.5519;28.2299;27.6569
200;2;2.08795e-10;6.23601e-08;20.9;30.5858;30.5858;30.5521;28.2364;27.6648
202;2;2.08102e-10;6.21526e-08;20.9;30.5859;30.5859;30.5523;28.2429;27.6727
204;2;2.07414e-10;6.19468e-08;20.9;30.586;30.586;30.5525;28.2493;27.6806
206;2;2.06732e-10;6.17426e-08;20.9;30.5861;30.5861;30.5527;28.2558;27.6884
208;2;2.06054e-10;6.15399e-08;20.9;30.5862;30.5862;30.5529;28.2622;27.6962
210;2;2.05382e-10;6.13387e-08;20.9;30.5864;30.5864;30.5531;28.2686;27.704
212;2;2.04714e-10;6.11389e-08;20.9;30.5865;30.5865;30.5533;28.275;27.7118
214;2;2.04051e-10;6.09405e-08;20.9;30.5866;30.5866;30.5535;28.2814;27.7196
216;2;2.03392e-10;6.07434e-08;20.9;30.5867;30.5867;30.5537;28.2877;27.7273
218;2;2.02737e-10;6.05476e-08;20.9;30.5868;30.5868;30.5539;28.294;27.735
220;2;2.02087e-10;6.03531e-08;20.9;30.5869;30.5869;30.5541;28.3003;27.7427
222;2;2.0144e-10;6.01597e-08;20.9;30.5871;30.587;30.5543;28.3066;27.7504
224;2;2.00797e-10;5.99674e-08;20.9;30.5872;30.5872;30.5545;28.3129;27.758
226;2;2.00158e-10;5.97763e-08;20.9;30.5873;30.5873;30.5547;28.3192;27.7657
228;2;1.99522e-10;5.95862e-08;20.9;30.5874;30.5874;30.5549;28.3254;27.7733
230;2;1.9889e-10;5.93972e-08;20.9;30.5875;30.5875;30.5551;28.3316;27.7808
232;2;1.98261e-10;5.92093e-08;20.9;30.5876;30.5876;30.5553;28.3378;27.7884
234;2;1.97636e-10;5.90223e-08;20.9;30.5877;30.5877;30.5555;28.344;27.796
236;2;1.97014e-10;5.88363e-08;20.9;30.5878;30.5878;30.5557;28.3501;27.8035
238;2;1.96394e-10;5.86512e-08;20.9;30.588;30.5879;30.5559;28.3563;27.811
240;2;1.95778e-10;5.84671e-08;20.9;30.5881;30.5881;30.5561;28.3624;27.8185
242;2;1.95165e-10;5.82838e-08;20.9;30.5882;30.5882;30.5563;28.3685;27.8259
244;2;1.94555e-10;5.81015e-08;20.9;30.5883;30.5883;30.5565;28.3746;27.8334
246;2;1.93948e-10;5.792e-08;20.9;30.5884;30.5884;30.5567;28.3807;27.8408
248;2;1.93343e-10;5.77393e-08;20.9;30.5885;30.5885;30.5569;28.3867;27.8482
250;2;1.92741e-10;5.75595e-08;20.9;30.5886;30.5886;30.5571;28.3927;27.8556
252;2;1.92142e-10;5.73805e-08;20.9;30.5887;30.5887;30.5573;28.3988;27.8629
254;2;1.91546e-10;5.72023e-08;20.9;30.5888;30.5888;30.5575;28.4048;27.8703
256;2;1.90952e-10;5.70249e-08;20.9;30.5889;30.5889;30.5577;28.4107;27.8776
258;2;1.9036e-10;5.68482e-08;20.9;30.589;30.589;30.5579;28.4167;27.8849
260;2;1.89772e-10;5.66723e-08;20.9;30.5892;30.5892;30.5581;28.4226;27.8921
262;2;1.89185e-10;5.64972e-08;20.9;30.5893;30.5893;30.5583;28.4286;27.8994
264;2;1.88601e-10;5.63228e-08;20.9;30.5894;30.5894;30.5585;28.4345;27.9066
266;2;1.8802e-10;5.61491e-08;20.9;30.5895;30.5895;30.5587;28.4404;27.9138
268;2;1.87441e-10;5.59761e-08;20.9;30.5896;30.5896;30.5588;28.4463;27.921
270;2;1.86864e-10;5.58039e-08;20.9;30.5897;30.5897;30.559;28.4521;27.9282
272;2;1.86289e-10;5.56323e-08;20.9;30.5898;30.5898;30.5592;28.458;27.9354
274;2;1.85717e-10;5.54614e-08;20.9;30.5899;30.5899;30.5594;28.4638;27.9425
276;2;1.85147e-10;5.52912e-08;20.9;30.59;30.59;30.5596;28.4696;27.9496
278;2;1.8458e-10;5.51217e-08;20.9;30.5901;30.5901;30.5598;28.4754;27.9567
280;2;1.84014e-10;5.49529e-08;20.9;30.5902;30.5902;30.56;28.4812;27.9638
282;2;1.83451e-10;5.47847e-08;20.9;30.5903;30.5903;30.5601;28.4869;27.9708
284;2;1.8289e-10;5.46171e-08;20.9;30.5904;30.5904;30.5603;28.4927;27.9779
286;2;1.8233e-10;5.44502e-08;20.9;30.5905;30.5905;30.5605;28.4984;27.9849
288;2;1.81774e-10;5.42839e-08;20.9;30.5906;30.5906;30.5607;28.5041;27.9919
290;2;1.81219e-10;5.41183e-08;20.9;30.5907;30.5907;30.5609;28.5098;27.9989
292;2;1.80666e-10;5.39533e-08;20.9;30.5908;30.5908;30.5611;28.5154;28.0058
294;2;1.80115e-10;5.37889e-08;20.9;30.5909;30.5909;30.5612;28.5211;28.0128
296;2;1.79567e-10;5.36251e-08;20.9;30.591;30.591;30.5614;28.5268;28.0197
298;2;1.7902e-10;5.3462e-08;20.9;30.5911;30.5911;30.5616;28.5324;28.0266
300;2;1.78475e-10;5.32994e-08;20.9;30.5912;30.5912;30.5618;28.538;28.0335
302;2;1.77933e-10;5.31374e-08;20.9;30.5913;30.5913;30.562;28.5436;28.0403
304;2;1.77392e-10;5.29761e-08;20.9;30.5914;30.5914;30.5622;28.5492;28.0472
306;2;1.76853e-10;5.28153e-08;20.9;30.5916;30.5915;30.5623;28.5547;28.054
308;2;1.76317e-10;5.26551e-08;20.9;30.5917;30.5916;30.5625;28.5603;28.0608
310;2;1.75782e-10;5.24955e-08;20.9;30.5918;30.5917;30.5627;28.5658;28.0676
312;2;1.75249e-10;5.23365e-08;20.9;30.5919;30.5918;30.5629;28.5713;28.0743
314;2;1.74718e-10;5.2178e-08;20.9;30.592;30.5919;30.563;28.5768;28.0811
316;2;1.74189e-10;5.20201e-08;20.9;30.592;30.592;30.5632;28.5823;28.0878
318;2;1.73662e-10;5.18628e-08;20.9;30.5921;30.5921;30.5634;28.5878;28.0945
320;2;1.73136e-10;5.1706e-08;20.9;30.5922;30.5922;30.5636;28.5932;28.1012
322;2;1.72613e-10;5.15498e-08;20.9;30.5923;30.5923;30.5637;28.5986;28.1079
324;2;1.72091e-10;5.13942e-08;20.9;30.5924;30.5924;30.5639;28.6041;28.1145
326;2;1.71571e-10;5.12391e-08;20.9;30.5925;30.5925;30.5641;28.6095;28.1211
328;2;1.71053e-10;5.10845e-08;20.9;30.5926;30.5926;30.5643;28.6149;28.1278
330;2;1.70537e-10;5.09305e-08;20.9;30.5927;30.5927;30.5644;28.6202;28.1344
332;2;1.70023e-10;5.0777e-08;20.9;30.5928;30.5928;30.5646;28.6256;28.1409
334;2;1.6951e-10;5.06241e-08;20.9;30.5929;30.5929;30.5648;28.6309;28.1475
336;2;1.68999e-10;5.04717e-08;20.9;30.593;30.593;30.565;28.6363;28.154
338;2;1.6849e-10;5.03198e-08;20.9;30.5931;30.5931;30.5651;28.6416;28.1606
340;2;1.67983e-10;5.01684e-08;20.9;30.5932;30.5932;30.5653;28.6469;28.1671
342;2;1.67477e-10;5.00176e-08;20.9;30.5933;30.5933;30.5655;28.6521;28.1735
344;2;1.66973e-10;4.98673e-08;20.9;30.5934;30.5934;30.5656;28.6574;28.18
346;2;1.66471e-10;4.97175e-08;20.9;30.5935;30.5935;30.5658;28.6627;28.1865
348;2;1.65971e-10;4.95683e-08;20.9;30.5936;30.5936;30.566;28.6679;28.1929
350;2;1.65472e-10;4.94195e-08;20.9;30.5937;30.5937;30.5661;28.6731;28.1993
352;2;1.64975e-10;4.92713e-08;20.9;30.5938;30.5938;30.5663;28.6783;28.2057
354;2;1.6448e-10;4.91235e-08;20.9;30.5939;30.5939;30.5665;28.6835;28.2121
356;2;1.63986e-10;4.89763e-08;20.9;30.594;30.594;30.5666;28.6887;28.2184
358;2;1.63494e-10;4.88295e-08;20.9;30.5941;30.5941;30.5668;28.6939;28.2248
360;2;1.63004e-10;4.86833e-08;20.9;30.5942;30.5942;30.567;28.699;28.2311
