tiempo_s;iteraciones_no_lineales;error_no_lineal_relativo;incremento_RMS_K;Tmin_C;Tmax_C;T_cubierta_C;T_baldosa_EPS_C;T_EPS_forjado_C;T_forjado_aire_C
2;4;1.79892e-10;5.39616e-08;20.9;28.9557;28.9557;28.3274;27.0351;27
4;3;9.5881e-09;2.87528e-06;20.9;29.6611;29.6611;29.2492;27.0879;27
6;3;5.5401e-09;1.66101e-06;20.9;30.0492;30.0492;29.7904;27.1424;27
8;3;3.25229e-09;9.74911e-07;20.9;30.2707;30.2707;30.1017;27.1924;27.0001
10;3;1.8955e-09;5.68106e-07;20.9;30.3977;30.3977;30.2807;27.2365;27.0001
12;3;1.09923e-09;3.29406e-07;20.9;30.4707;30.4707;30.3836;27.2752;27.0003
14;3;6.36426e-10;1.90694e-07;20.9;30.5127;30.5127;30.443;27.3093;27.0006
16;3;3.68962e-10;1.10539e-07;20.9;30.537;30.537;30.4774;27.3398;27.001
18;3;2.14827e-10;6.43541e-08;20.9;30.5512;30.5512;30.4975;27.3673;27.0016
20;3;1.26092e-10;3.77686e-08;20.9;30.5595;30.5595;30.5093;27.3923;27.0025
22;2;8.91671e-09;2.67057e-06;20.9;30.5644;30.5644;30.5165;27.4154;27.0037
24;2;5.41178e-09;1.62069e-06;20.9;30.5674;30.5674;30.5208;27.4369;27.0052
26;2;3.38499e-09;1.01362e-06;20.9;30.5693;30.5693;30.5236;27.457;27.0071
28;2;2.20759e-09;6.61e-07;20.9;30.5705;30.5705;30.5254;27.4759;27.0093
30;2;1.51878e-09;4.54718e-07;20.9;30.5713;30.5713;30.5267;27.4938;27.0118
32;2;1.11154e-09;3.32767e-07;20.9;30.572;30.572;30.5277;27.5109;27.0148
34;2;8.67025e-10;2.59546e-07;20.9;30.5724;30.5724;30.5285;27.5272;27.0181
36;2;7.16931e-10;2.146e-07;20.9;30.5728;30.5728;30.5292;27.5427;27.0217
38;2;6.21955e-10;1.86158e-07;20.9;30.5732;30.5732;30.5298;27.5577;27.0257
40;2;5.5943e-10;1.67432e-07;20.9;30.5735;30.5735;30.5303;27.5721;27.0301
42;2;5.16252e-10;1.545e-07;20.9;30.5738;30.5738;30.5308;27.5861;27.0348
44;2;4.84813e-10;1.45082e-07;20.9;30.574;30.574;30.5313;27.5995;27.0397
46;2;4.60671e-10;1.37849e-07;20.9;30.5743;30.5743;30.5317;27.6126;27.045
48;2;4.41214e-10;1.32019e-07;20.9;30.5745;30.5745;30.5322;27.6252;27.0506
50;2;4.24887e-10;1.27127e-07;20.9;30.5748;30.5748;30.5326;27.6375;27.0564
52;2;4.10752e-10;1.22891e-07;20.9;30.575;30.575;30.533;27.6495;27.0624
54;2;3.9823e-10;1.19138e-07;20.9;30.5752;30.5752;30.5334;27.6611;27.0687
56;2;3.86953e-10;1.15759e-07;20.9;30.5755;30.5755;30.5338;27.6725;27.0752
58;2;3.76682e-10;1.1268e-07;20.9;30.5757;30.5757;30.5341;27.6836;27.0819
60;2;3.67251e-10;1.09854e-07;20.9;30.5759;30.5759;30.5345;27.6945;27.0887
62;2;3.58543e-10;1.07244e-07;20.9;30.5761;30.5761;30.5348;27.7051;27.0957
64;2;3.50471e-10;1.04825e-07;20.9;30.5763;30.5763;30.5352;27.7156;27.1029
66;2;3.42966e-10;1.02576e-07;20.9;30.5765;30.5765;30.5355;27.7258;27.1103
68;2;3.35971e-10;1.00479e-07;20.9;30.5766;30.5766;30.5359;27.7358;27.1177
70;2;3.29441e-10;9.85222e-08;20.9;30.5768;30.5768;30.5362;27.7457;27.1253
72;2;3.23336e-10;9.66924e-08;20.9;30.577;30.577;30.5365;27.7554;27.133
74;2;3.1762e-10;9.49793e-08;20.9;30.5772;30.5772;30.5368;27.7649;27.1408
76;2;3.12263e-10;9.33736e-08;20.9;30.5774;30.5774;30.5371;27.7743;27.1486
78;2;3.07236e-10;9.1867e-08;20.9;30.5775;30.5775;30.5374;27.7836;27.1566
80;2;3.02514e-10;9.04519e-08;20.9;30.5777;30.5777;30.5377;27.7927;27.1646
82;2;2.98076e-10;8.91215e-08;20.9;30.5779;30.5779;30.538;27.8018;27.1728
84;2;2.93899e-10;8.78696e-08;20.9;30.578;30.578;30.5383;27.8107;27.1809
86;2;2.89965e-10;8.66905e-08;20.9;30.5782;30.5782;30.5386;27.8195;27.1892
88;2;2.86256e-10;8.55788e-08;20.9;30.5784;30.5784;30.5389;27.8282;27.1974
90;2;2.82757e-10;8.45298e-08;20.9;30.5785;30.5785;30.5392;27.8368;27.2058
92;2;2.79451e-10;8.3539e-08;20.9;30.5787;30.5787;30.5395;27.8453;27.2141
94;2;2.76326e-10;8.26023e-08;20.9;30.5788;30.5788;30.5397;27.8537;27.2225
96;2;2.73369e-10;8.17158e-08;20.9;30.579;30.579;30.54;27.862;27.231
98;2;2.70568e-10;8.08761e-08;20.9;30.5791;30.5791;30.5403;27.8703;27.2394
100;2;2.67912e-10;8.00798e-08;20.9;30.5793;30.5793;30.5405;27.8785;27.2479
102;2;2.65391e-10;7.9324e-08;20.9;30.5794;30.5794;30.5408;27.8866;27.2564
104;2;2.62996e-10;7.86059e-08;20.9;30.5796;30.5796;30.5411;27.8947;27.2649
106;2;2.60717e-10;7.79228e-08;20.9;30.5797;30.5797;30.5413;27.9027;27.2735
108;2;2.58547e-10;7.72723e-08;20.9;30.5799;30.5799;30.5416;27.9106;27.282
110;2;2.56479e-10;7.66522e-08;20.9;30.58;30.58;30.5418;27.9185;27.2906
112;2;2.54505e-10;7.60604e-08;20.9;30.5802;30.5802;30.5421;27.9263;27.2991
114;2;2.5262e-10;7.5495e-08;20.9;30.5803;30.5803;30.5423;27.9341;27.3077
116;2;2.50816e-10;7.49541e-08;20.9;30.5804;30.5804;30.5426;27.9418;27.3163
118;2;2.49088e-10;7.44362e-08;20.9;30.5806;30.5806;30.5428;27.9495;27.3249
120;2;2.47432e-10;7.39395e-08;20.9;30.5807;30.5807;30.5431;27.9571;27.3334
