iteracion;residuo_algebraico_relativo;error_no_lineal_relativo_L2;error_RMS_K;error_L2;seminorma_H1;norma_H1
0;3.12529e-16;0.00892768;2.67372;2128.92;21.4525;2129.03
1;2.76123e-16;8.96406e-05;0.0268443;21.3745;0.1722;21.3752
2;2.83398e-16;1.41819e-06;0.000424701;0.338164;0.00264471;0.338175
3;3.1175e-16;2.24353e-08;6.71862e-06;0.00534964;4.08359e-05;0.0053498
4;2.99987e-16;3.5492e-10;1.06286e-07;8.46296e-05;6.32777e-07;8.46319e-05
5;2.74786e-16;5.61488e-12;1.68146e-09;1.33885e-06;9.83021e-09;1.33889e-06
6;2.90069e-16;8.94107e-14;2.67755e-11;2.13197e-08;1.53296e-10;2.13203e-08
