iteracion;residuo_algebraico_relativo;error_no_lineal_relativo_L2;error_RMS_K;error_L2;seminorma_H1;norma_H1
0;6.89131e-16;0.00893016;2.67445;2129.51;22.1144;2129.62
1;6.74038e-16;8.96425e-05;0.0268448;21.3749;0.173255;21.3756
2;6.66152e-16;1.41819e-06;0.000424698;0.338162;0.00265545;0.338173
3;6.82342e-16;2.2435e-08;6.7185e-06;0.00534955;4.09544e-05;0.0053497
4;6.64805e-16;3.54913e-10;1.06284e-07;8.46279e-05;6.34196e-07;8.46303e-05
5;6.79193e-16;5.61779e-12;1.68233e-09;1.33954e-06;9.8495e-09;1.33958e-06
6;6.47292e-16;9.01766e-14;2.70048e-11;2.15023e-08;1.54888e-10;2.15029e-08
